----- 8-10-2012 22:44:17: Job 'RPLiveTVServerSource': ANALYSIS started by On File Change on computer 'QUAD' (GoodSync 9.0.2.4 on Windows 7) -----
RPLiveTVServerSource: C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV =forced-PropDels=> D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE, SavePrevVers, CleanupPrevVers=30d, CleanupOldGens=12m, TmpDest, EstReq, CopyLocked, DetectMovesAndRenames, DetectFolderMoves, FileLinksDrill, CaseSens, Reconnect=3, CopyCreateTime
Exclude licens*.rfo|cache.rfo|mru.rfo|mpp*.rfo|RoboForm Online Account.rfp|name *._gstmp|/System Volume Information|Thumbs.db|.DS_Store 
Left: Reading State File C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\_gsdata_\_file_state._gs
Locking folder C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV for write
Left: Files: 4.202 (excluded 0). Folders: 552 (excluded 1). C: NTFS, Free: 50,9 GB, Total: 195 GB
Right: Reading State File D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\_gsdata_\_file_state._gs
Locking folder D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE for write
Right: Files: 4.192 (excluded 0). Folders: 552 (excluded 1). D: NTFS, Free: 160 GB, Total: 931 GB
On disk file:///D: space required for sync is 11,8 MB, you have 160 GB
Changes: 90, Conflicts: 0, CopyTime: 0, CopyState: 0, Errors: 0
Left to Right: Copy File: 89 Delete File: 1 
----- 8-10-2012 22:44:20: Analysis Completed. Time 00:00:03, Speed: 1.585 files/s -----
===== 8-10-2012 22:44:20: Job 'RPLiveTVServerSource': SYNC started by On File Change on computer 'QUAD' =====
RPLiveTVServerSource: C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV =forced-PropDels=> D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE, SavePrevVers, CleanupPrevVers=30d, CleanupOldGens=12m, TmpDest, EstReq, CopyLocked, DetectMovesAndRenames, DetectFolderMoves, FileLinksDrill, CaseSens, Reconnect=3, CopyCreateTime
Delete File 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\RemotePotatoSetup\Release\RemotePotatoSetup.msi'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\MediaStreamer.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\MediaStreamer.dll'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\MediaStreamer.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\MediaStreamer.pdb'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.dll'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.pdb'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.Shell.dll' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.Shell.dll'
Copy New 'C:\Users\stefan verhagen\Documents\Visual Studio 2010\Projects\remotepotato-4333062-LivetTV\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.Shell.pdb' -> 'D:\Dropbox\mydoc2\programmeren\remote potato\RPaddinAndroidMCE\Server\MediaStreamer\bin\Release\Microsoft.WindowsAPICodePack.Shell.pdb'
